transaction_id,customer_id,product,quantity,price,date
T001,C101,Laptop,1,75000,2026-08-18
T002,C102,Mouse,2,800,2026-08-18
T003,C101,Keyboard,1,2500,2026-08-18
T004,C103,Monitor,2,15000,2026-08-18
T005,C102,Headphones,1,3000,2026-08-18
T006,C104,Webcam,1,4500,2026-08-18
T007,C101,Mouse,3,800,2026-08-18
T008,C105,Keyboard,2,2500,2026-08-18
T009,C103,Laptop,1,75000,2026-08-18
T010,C104,Mouse,5,800,2026-08-18
T011,C105,Mouse,-2,800,2026-08-18
T012,,Keyboard,1,2500,2026-08-18
T013,C106,Monitor,0,15000,2026-08-18
T014,C107,Laptop,1,-75000,2026-08-18
T015,C108,Webcam,1,4500,not-a-date
T010,C109,Mouse,2,800,2026-08-18
